serialNum,property,name,index,lat,lon
3444,ФГБУ Западно-Сибирское УГМС,Татарск,29605,55.13,76.01
2868,ФГБУ Обь-Иртышское УГМС,ТАУРОВО - Р.БОЛЬШОЙ ЮГАН,28097,59.58555556,73.28888889
3499,ФГБУ Западно-Сибирское УГМС,Таштагол,29954,52.46,87.52
3751,ФГБУ Среднесибирское УГМС,ТАШТЫП - Р.ТАШТЫП,29956,52.8,89.8833
8278,ФГБУ Центральное УГМС,ТВЕРЬ,27402,56.88,35.87
2353,ФГБУ Северо-Кавказское УГМС,ТЕБЕРДА,37193,43.45000278,41.73333333
4175,ФГБУ Обь-Иртышское УГМС,Тевриз,28383,57.51444722,72.37028056
3500,ФГБУ Западно-Сибирское УГМС,Тегульдет,29355,57.18,88.09
5069,ФГБУ Якутское УГМС,ТЕГЮЛТЯ,24967,60.47,130
3752,ФГБУ Среднесибирское УГМС,ТЕМБЕНЧИ - Р.ТЕМБЕНЧИ,23499,64.95,98.9
1642,ФГБУ Верхне-Волжское УГМС,ТЕМНИКОВ,27752,54.63,43.23
2363,ФГБУ Северо-Кавказское УГМС,ТЕРЕКЛИ-МЕКТЕБ,37079,44.13333333,45.88333333
5760,ФГБУ Приморское УГМС,ТЕРНЕЙ,31909,45,136.36
8239,ФГБУ Северо-Кавказская ВС,ТЕРСКОЛ,37204,43.25,42.51
2766,ФГБУ УГМС Республики Татарстан,ТЕТЮШИ,27697,54.94805556,48.79111111
4367,ФГБУ Дальневосточное УГМС,ТИВЯКУ - Р.ХОР,31754,48.6,137.05
180,ФГБУ Центрально-Черноземное УГМС,ТИМ,34112,51.62,37.13
2781,ФГБУ Северо-Кавказское УГМС,ТИМАШЕВСК,34922,45.63333333,38.93333333
3445,ФГБУ Западно-Сибирское УГМС,Тисуль,29557,55.45,88.18
2338,ФГБУ Северо-Кавказское УГМС,ТИХОРЕЦК,34838,45.85,40.08
2362,ФГБУ Северо-Кавказское УГМС,ТЛЯРАТА,37468,42.12,46.35
3446,ФГБУ Западно-Сибирское УГМС,Тогул,29848,53.28,85.56
3447,ФГБУ Западно-Сибирское УГМС,Тогучин,29636,55.13,84.22
6043,ФГБУ Иркутское УГМС,ТОКМА,30127,58.23,105.73
5071,ФГБУ Якутское УГМС,ТОКО,31137,56.28,131.13
4842,ФГБУ Иркутское УГМС,ТОМПА,30439,55.11666667,109.75
5072,ФГБУ Якутское УГМС,ТОМПО,24671,63.95,135.8666667
8348,ФГБУ Западно-Сибирское УГМС,Томск,29430,56.3,84.55
5070,ФГБУ Якутское УГМС,ТОНГУЛАХ,24843,61.92,124.55
3753,ФГБУ Среднесибирское УГМС,ТООРА-ХЕМ - Р.БОЛЬШОЙ ЕНИСЕЙ(УЛУ-ХЕМ),36103,52.4667,96.1
3448,ФГБУ Западно-Сибирское УГМС,Топки,29641,55.16,85.36
1635,ФГБУ Верхне-Волжское УГМС,ТОРБЕЕВО,27758,54.08,43.25
826,ФГБУ Центральное УГМС,ТОРЖОК,27401,57.03,35.01
