index,h,q
2048,NA,10
2057,NA,10
2058,NA,10
2062,NA,10
2087,NA,8
2090,NA,10
2091,NA,10
2092,NA,10
2094,NA,3
2095,NA,8
2102,NA,10
2103,NA,10
2106,NA,10
2107,NA,10
2108,NA,10
2111,NA,10
2115,NA,10
2122,NA,10
2126,NA,10
2128,NA,10
2131,NA,10
2148,NA,10
2152,NA,10
2155,NA,10
2164,NA,10
2180,NA,10
2187,NA,10
2190,NA,10
2191,NA,10
2192,NA,10
2193,NA,10
2198,NA,10
2199,NA,10
2202,NA,10
2203,NA,10
2206,NA,10
2208,NA,10
2212,NA,2
2219,NA,10
2221,NA,9
2222,NA,10
2226,NA,10
2227,NA,9
2229,NA,10
2241,NA,10
2253,NA,10
2258,NA,10
2269,NA,10
2270,NA,10
2271,NA,6
2272,NA,6
2275,NA,10
2276,NA,4
2277,NA,3
2278,NA,2
2279,NA,3
2280,NA,2
3001,NA,10
3003,NA,10
3008,NA,10
3014,NA,10
3017,NA,10
3021,NA,10
3029,NA,10
3036,NA,10
3042,NA,10
3056,NA,10
3057,NA,10
3059,NA,10
3068,NA,10
3073,NA,10
3074,NA,10
3076,NA,10
3079,NA,10
3083,NA,10
3085,NA,10
3087,NA,10
3088,NA,9
3095,NA,10
3096,NA,10
3099,NA,8
3100,NA,8
3102,NA,10
3106,NA,10
3110,NA,10
3113,NA,10
3115,NA,8
3117,NA,8
3118,NA,8
3119,NA,10
3120,NA,10
3122,NA,8
3123,NA,6
3124,NA,8
3126,NA,8
3127,NA,8
3128,NA,8
3130,NA,6
3131,NA,10
3133,NA,10
3135,NA,10
3136,NA,10
3147,NA,10
3150,NA,10
3155,NA,10
3156,NA,10
3157,NA,10
3159,NA,10
3160,NA,10
3161,NA,10
3163,NA,10
3169,NA,10
3171,NA,10
3175,NA,10
3178,NA,10
3180,NA,10
3198,NA,8
3201,NA,10
3202,NA,6
3203,NA,10
3207,NA,10
3210,NA,10
3214,NA,10
3218,NA,10
3219,NA,10
3220,NA,10
3222,NA,10
3225,NA,10
3229,NA,10
3232,NA,10
3234,NA,10
3237,NA,10
3245,NA,10
3246,NA,10
3247,NA,10
3248,NA,10
3250,NA,10
3252,NA,10
3254,NA,10
3257,NA,10
3258,NA,10
3259,NA,10
3261,NA,10
3263,NA,10
3264,NA,10
3271,NA,10
3277,NA,10
3281,NA,6
3283,NA,10
3291,NA,10
3292,NA,10
3293,NA,10
3307,NA,10
3310,NA,10
3315,NA,10
3321,NA,10
3329,NA,10
3334,NA,10
3341,NA,10
3344,NA,10
3355,NA,10
3357,NA,10
3359,NA,8
3360,NA,10
3362,NA,6
3365,NA,10
3366,NA,10
3367,NA,10
3383,NA,10
3388,NA,8
3390,NA,10
3398,NA,10
3403,NA,10
3404,NA,10
3405,NA,10
3407,NA,10
3414,NA,10
3421,NA,2
3424,NA,10
3426,NA,6
3430,NA,10
3431,NA,10
3433,NA,10
3443,NA,10
3445,NA,10
3479,NA,10
3480,NA,9
3483,NA,10
3488,NA,10
3489,NA,10
3499,NA,10
3501,NA,10
3507,NA,10
3510,NA,10
3515,NA,10
3516,NA,10
3518,NA,10
3527,NA,10
3554,NA,10
3560,NA,10
3564,NA,10
3569,NA,10
3577,NA,10
3578,NA,6
3579,NA,10
3581,NA,10
3582,NA,2
3597,NA,10
3599,NA,10
3602,NA,10
3603,NA,10
3607,NA,8
3616,NA,10
3625,NA,10
3627,NA,10
3630,NA,10
3637,NA,10
3641,NA,8
3655,NA,10
3659,NA,10
3669,NA,10
3801,NA,10
3809,NA,2
3811,NA,10
3821,NA,10
3881,NA,10
4005,10,10
4012,10,10
4027,10,10
4032,10,10
4033,10,10
4034,10,10
4036,10,10
4038,10,10
4043,10,10
4058,8,8
4068,10,10
4071,10,10
4085,10,10
4090,10,10
4095,10,10
4102,10,10
4105,10,10
4107,10,10
4116,10,10
4118,10,NA
4140,10,NA
4141,10,10
4145,10,10
4148,10,10
4158,10,10
4159,10,10
4160,10,10
4168,3,3
4170,10,NA
4173,10,10
4175,10,10
4179,10,10
4181,10,10
4197,10,10
4212,10,10
4215,10,10
4225,10,NA
4226,10,10
4235,10,10
4238,10,10
4240,10,10
48002,NA,10
48006,NA,10
48011,NA,10
48021,NA,10
48028,NA,6
48029,NA,10
48030,NA,10
48038,NA,10
48043,NA,10
48055,NA,10
48056,NA,10
48058,NA,10
48063,NA,6
48069,NA,10
48071,NA,10
48075,NA,10
48079,NA,10
48085,NA,10
48088,NA,10
48089,NA,10
48090,NA,10
48091,NA,10
48097,NA,10
48099,NA,10
48110,NA,10
48123,NA,10
49001,NA,10
49014,NA,10
49017,NA,9
49030,NA,10
49047,NA,10
49048,NA,10
49052,NA,10
49053,NA,10
49054,NA,10
49055,NA,10
49058,NA,10
49070,NA,10
49090,NA,10
49093,NA,10
49094,NA,10
49095,NA,10
49099,NA,10
49103,NA,10
49110,NA,10
49114,NA,10
49116,NA,6
49120,NA,10
49123,NA,10
49125,NA,10
49126,NA,10
49127,NA,10
49128,NA,10
49129,NA,10
49130,NA,10
49135,NA,10
49149,NA,10
5001,10,NA
5002,10,NA
5004,10,NA
5008,10,NA
5009,10,NA
5012,10,NA
5013,10,10
5016,10,NA
5019,10,NA
5020,10,NA
5024,10,6
5026,10,NA
5029,10,NA
5031,10,NA
5033,10,10
5036,10,10
5044,10,NA
5052,10,10
5055,10,10
5059,10,NA
5063,10,10
5072,10,10
5074,10,10
5081,10,10
5082,10,10
5085,10,10
5092,10,10
5094,10,10
5105,10,10
5108,10,NA
5110,10,NA
5112,10,NA
5113,10,NA
5115,10,NA
5116,10,NA
5117,10,NA
5120,3,3
5122,10,10
5128,10,10
5132,10,10
5135,10,10
5148,10,10
5151,10,10
5155,6,5
5160,10,10
5166,10,10
5167,10,10
5171,10,10
5190,10,10
5199,10,10
5202,10,10
5208,10,10
5211,10,10
5216,10,10
5217,10,10
5237,10,10
5238,6,6
5239,10,10
5244,10,NA
5250,10,10
5254,10,10
5256,10,NA
5262,10,10
5263,10,6
5269,10,NA
5277,10,10
5280,10,10
5287,10,10
5290,10,NA
5292,10,10
5296,10,NA
5306,6,NA
5307,10,NA
5311,10,10
5313,10,10
5319,10,10
5321,10,10
5328,10,10
5331,10,NA
5332,10,NA
5335,10,NA
5336,10,10
5339,10,NA
5347,10,10
5348,9,4
5349,10,NA
5352,10,10
5354,10,10
5358,10,10
5364,10,NA
5365,10,NA
5370,10,10
5375,10,NA
5383,10,10
5403,10,10
5415,10,10
5420,10,9
5440,NA,7
5446,10,NA
5449,10,10
5453,10,10
5454,10,NA
5458,10,10
5459,10,10
5461,10,10
5467,10,NA
5469,10,NA
5472,1,NA
5507,10,10
5529,10,10
5532,10,NA
5539,10,10
5552,10,10
5555,10,10
5580,10,10
5583,10,10
5589,10,10
5597,10,10
5599,10,NA
5600,10,10
5604,10,10
5607,10,10
5611,10,10
5613,10,10
5635,10,10
5642,10,10
5652,10,10
5659,10,NA
5662,10,10
5663,6,6
5664,10,10
5673,10,9
5674,9,9
5675,10,10
5733,10,10
5736,10,10
5740,10,10
5745,4,2
5746,10,10
5749,10,10
5758,10,10
5759,10,10
5760,10,NA
5761,10,NA
5762,10,NA
5765,NA,5
5803,10,NA
5805,10,NA
6001,10,NA
6005,10,NA
6010,10,NA
6016,10,NA
6018,10,NA
6020,10,NA
6022,10,NA
6023,8,NA
6024,10,NA
6026,10,NA
6027,10,NA
6030,10,NA
6037,10,NA
6038,10,NA
6039,10,NA
6040,10,NA
6042,10,NA
6046,10,10
6049,10,10
6053,10,10
6058,10,10
6059,1,1
6060,10,10
6065,10,10
6067,10,10
6069,10,NA
6072,6,NA
6073,10,10
6076,10,10
6077,10,10
6080,10,NA
6084,10,10
6086,10,10
6089,10,10
6091,10,10
6092,10,10
6093,10,NA
6095,10,NA
6096,10,10
6097,10,10
6103,10,10
6105,10,10
6108,10,10
6116,10,10
6121,10,10
6125,10,NA
6127,10,10
6128,10,10
6133,10,10
6134,10,10
6135,8,NA
6136,10,NA
6139,10,10
6141,10,10
6143,10,10
6148,10,10
6151,2,2
6155,10,10
6159,10,10
6160,8,NA
6162,10,10
6163,10,10
6164,10,10
6167,10,10
6171,10,10
6175,10,10
6178,10,10
6180,10,10
6181,10,10
6184,10,10
6185,10,NA
6187,10,10
6190,10,10
6194,10,10
6197,10,10
6207,10,10
6211,10,10
6218,10,10
6228,10,10
6229,10,10
6231,10,10
6237,10,10
6239,10,10
6246,7,6
6250,10,10
6256,10,10
6259,10,10
6265,10,NA
6275,10,NA
6280,10,NA
6285,3,NA
6286,10,NA
6287,10,NA
6291,10,NA
6295,10,10
6296,10,NA
6299,NA,7
6302,10,10
6319,10,10
6323,10,10
6329,10,9
6331,10,10
6334,10,10
