"index";"serialNum";"class";"property";"name";"lat";"lon";"f"
78001;215;2;"ФГБУ Центральное УГМС";"ЕПИФАНЬ - Р.ДОН";53.83;38.55;686
78002;273;2;"ФГБУ Центрально-Черноземное УГМС";"ДАНКОВ - Р.ДОН";53.17;39.17;5020
78004;217;1;"ФГБУ Центрально-Черноземное УГМС";"ЗАДОНСК - Р.ДОН";52.4;38.92;31100
78008;211;2;"ФГБУ Центрально-Черноземное УГМС";"ГРЕМЯЧЬЕ - Р.ДОН";51.47;39.03;59600
78016;2533;1;"ФГБУ Северо-Кавказское УГМС";"ХОВАНСКИЙ - р. Дон";49.58;42.56;169000
78017;2425;1;"ФГБУ Северо-Кавказское УГМС";"СЕРАФИМОВИЧ - р. Дон";49.58;42.71;204000
78021;2493;1;"ФГБУ Северо-Кавказское УГМС";"НОВОГРИГОРЬЕВСКАЯ - р. Дон";49.41666667;43.65;208000
78040;2644;3;"ФГБУ Северо-Кавказское УГМС";"ЦИМЛЯНСКАЯ ГЭС ( Н/БЪЕФ ) - р. Дон";47.61666667;42.11666667;255000
78050;216;1;"ФГБУ Центральное УГМС";"ЕФРЕМОВ - Р.КРАСИBАЯ МЕЧА";53.13;38.13;3240
78052;222;1;"ФГБУ Центрально-Черноземное УГМС";"ИВАНЬ 2-Я - Р.СОСНА";52.38;36.7;276
78055;240;1;"ФГБУ Центрально-Черноземное УГМС";"НОВЫЕ САВИНЫ - Р.ТИМ";51.97;37.3;909
78078;212;1;"ФГБУ Центрально-Черноземное УГМС";"ДЕВИЦА - Р.ДЕBИЦА";51.63;38.95;1490
78082;234;1;"ФГБУ Центрально-Черноземное УГМС";"ЛИПЕЦК 2 - Р.BОРОНЕЖ";52.57;39.57;15300
78087;266;1;"ФГБУ Центрально-Черноземное УГМС";"ЧЕРТОВИЦКОЕ - Р.BОРОНЕЖ";51.82;39.28;21000
78106;272;1;"ФГБУ Центрально-Черноземное УГМС";"АЛЕКСЕЕВКА - Р.ТИХАЯ СОСНА";50.63;38.7;2060
78109;238;1;"ФГБУ Центрально-Черноземное УГМС";"МОРДОВО - Р.БИТЮГ";52.08;40.75;903
78111;206;1;"ФГБУ Центрально-Черноземное УГМС";"БОБРОВ - Р.БИТЮГ";51.08;40.08;7340
78132;2538;1;"ФГБУ Северо-Кавказское УГМС";"ШУМИЛИНСКАЯ - р. Песковатка";49.96;41.45;572
78135;2021;1;"ФГБУ Приволжское УГМС";"ПАНОВКА - Р.ХОПЕР";52.68;44.35;1120
78138;1980;1;"ФГБУ Приволжское УГМС";"БАЛАШОВ - Р.ХОПЕР";51.55;43.15;14300
78141;249;1;"ФГБУ Центрально-Черноземное УГМС";"ПОВОРИНО - Р.ХОПЕР";51.23;42.25;19100
78142;274;1;"ФГБУ Центрально-Черноземное УГМС";"НОВОХОПЕРСК - Р.ХОПЕР";51.08;41.65;34800
78144;2427;1;"ФГБУ Северо-Кавказское УГМС";"БЕСПЛЕМЯНОВСКИЙ - р. Хопер";50.75;41.9;44900
78146;2422;1;"ФГБУ Северо-Кавказское УГМС";"БАРМИНСКИЙ - р. Хопер";50.16;42.3;57300
78160;2024;1;"ФГБУ Приволжское УГМС";"ПОДГОРНОЕ - Р.КАРАЙ";51.65;42.8;2620
78163;267;1;"ФГБУ Центрально-Черноземное УГМС";"ЧУТАНОВКА - Р.BОРОНА";52.6;42.75;5560
78182;2465;1;"ФГБУ Северо-Кавказское УГМС";"ПРЕОБРАЖЕНСКАЯ - р. Бузулук";50.75;43.06;3460
78188;2412;1;"ФГБУ Северо-Кавказское УГМС";"АНДРЕЕВСКИЙ - р. Кардаил";50.95;42.66;1310
78191;2539;1;"ФГБУ Северо-Кавказское УГМС";"ЯРСКОЙ - р. Кумылга";50;42.63;1220
78196;2006;1;"ФГБУ Приволжское УГМС";"ЛЫСЫЕ ГОРЫ - Р.МЕДBЕДИЦА";51.53;44.82;7610
78202;2417;1;"ФГБУ Северо-Кавказское УГМС";"АРЧЕДИНСКАЯ - р. Медведица";49.88333333;43.13333333;33700
78205;1977;1;"ФГБУ Приволжское УГМС";"АТКАРСК - Р.АТКАРА";51.87;45.02;1030
78224;2492;1;"ФГБУ Северо-Кавказское УГМС";"НИЖНЯНСКИЙ - р. Арчеда";49.86;43.18;2050
78225;1988;1;"ФГБУ Приволжское УГМС";"ГВАРДЕЙСКОЕ - Р.ИЛОBЛЯ";50.63;45.42;344
78229;2411;1;"ФГБУ Северо-Кавказское УГМС";"АЛЕКСАНДРОВКА - р. Иловля";49.56;44.3;6520
